WAERS,BUKRS,KTOSL,BELNR,BSCHL,HKONT,DMBTR,WRBTR,label
C6,C61,C1,C17,A2,B1,205139.87,0.0,regular
C6,C69,C1,C13,A2,B1,568949.35,5213.0,regular
C5,C53,C1,C16,A3,B1,361532.57,21406.0,regular
C5,C56,C1,C14,A3,B1,981725.02,0.0,regular
C6,C66,C1,C17,A2,B1,277812.12,0.0,regular
C8,C80,C1,C16,A1,B1,605431.6,0.0,regular
C2,C20,C8,C89,A1,B3,75980.24,51621.0,regular
C1,C10,C1,C10,A1,B1,1667482.25,0.0,regular
C1,C17,C1,C18,A1,B1,366992.69,80881.0,regular
C1,C10,C2,C25,A1,B3,10324.82,0.0,regular
C1,C14,C5,C50,A1,B1,2772552.82,801468.0,regular
C8,C84,C1,C12,A1,B1,575813.11,263295.49,regular
C2,C20,C7,C77,A1,B2,535240.94,161994.67,regular
C8,C86,C1,C12,A1,B1,1566147.28,31205.0,regular
C1,C11,C1,C18,A1,B1,1463806.48,51789.0,regular
C6,C64,C5,C51,A2,B1,413228.6,0.0,regular
C9,C94,C1,C13,A2,B1,45173.04,316.0,regular
C1,C12,C1,C17,A1,B1,2759.94,50013.0,regular
C3,C35,C1,C14,A3,B1,259355.09,445.0,regular
C2,C29,C1,C13,A1,B1,626414.05,0.0,regular
C7,C79,C1,C16,A3,B1,952921.1,1827.0,regular
C7,C78,C1,C12,A3,B1,444909.52,2547.0,regular
C1,C14,C3,C35,A1,B2,1002018.86,51780.0,regular
C1,C16,C1,C19,A1,B1,210185.98,424238.46,regular
C4,C46,C1,C10,A2,B1,161381.94,753.0,regular
C1,C10,C1,C18,A1,B1,206509.41,74985.0,regular
C1,C14,C5,C57,A1,B1,12748.33,41717.0,regular
C7,C77,C7,C77,A3,B2,5695729.69,0.0,regular
C2,C20,C2,C27,A1,B3,179557.79,65007.0,regular
C1,C17,C1,C14,A1,B1,589787.36,28710.82,regular
C4,C46,C1,C12,A2,B1,122257.09,27169.32,regular
C3,C39,C9,C99,A3,B1,760833.22,0.0,regular
C8,C87,C2,C20,A1,B3,335390.64,0.0,regular
C4,C40,C1,C10,A2,B1,2008722.93,16002.0,regular
C7,C78,C6,C69,A3,B2,99237.76,0.0,regular
C2,C20,C2,C21,A1,B3,403018.79,1769.38,regular
C1,C11,C1,C18,A1,B1,542884.23,0.0,regular
C1,C16,C1,C14,A1,B1,3655297.44,0.0,regular
C1,C14,C8,C85,A1,B3,66664.29,0.0,regular
C1,C19,C6,C60,A1,B2,668964.76,0.0,regular
C1,C12,C1,C19,A1,B1,101222.96,59451.0,regular
C1,C17,C9,C95,A1,B1,858068.93,267706.7,regular
C6,C66,C1,C10,A2,B1,1193833.1,0.0,regular
C1,C10,C1,C12,A1,B1,631386.57,0.0,regular
C8,C86,C6,C64,A1,B2,647703.84,0.0,regular
C7,C72,C4,C49,A3,B3,896147.71,0.0,regular
C1,C16,C2,C23,A1,B3,324085.57,55194.0,regular
C1,C18,C2,C20,A1,B3,515975.57,0.0,regular
C9,C92,C1,C11,A2,B1,1229694.53,4264.1,regular
C1,C18,C2,C21,A1,B3,73828.12,0.0,regular
C1,C13,C2,C20,A1,B3,76300.38,0.0,regular
C5,C57,C1,C15,A3,B1,736423.22,0.0,regular
C3,C31,C1,C18,A3,B1,432055.13,0.0,regular
C1,C16,C2,C20,A1,B3,1266293.97,11091.0,regular
C1,C12,C1,C17,A1,B1,170455.32,453.0,regular
C1,C15,C4,C40,A1,B3,477854.42,0.0,regular
C1,C18,C1,C14,A1,B1,53349.12,0.0,regular
C1,C15,C3,C38,A1,B2,1591263.43,1591263.43,regular
C1,C18,C1,C12,A1,B1,202518.39,0.0,regular
C1,C15,C1,C14,A1,B1,2182434.9,1850.0,regular
C1,C17,C1,C12,A1,B1,83799.63,3311.0,regular
C1,C16,C9,C93,A1,B1,1180869.92,653418.0,regular
C3,C30,C9,C95,A3,B1,1107779.62,242492.21,regular
C1,C12,C1,C15,A1,B1,308827.76,0.0,regular
C8,C87,C1,C18,A1,B1,1264100.46,0.0,regular
C2,C20,C5,C53,A1,B1,443434.61,77413.3,regular
C2,C23,C1,C11,A1,B1,638826.81,49217.0,regular
C3,C32,C4,C45,A3,B3,3010858.39,0.0,regular
C2,C20,C1,C18,A1,B1,1644403.87,0.0,regular
C1,C16,C5,C55,A1,B1,226665.25,81229.0,regular
C1,C14,C7,C72,A1,B2,213863.17,0.0,regular
C1,C15,C4,C44,A1,B3,567847.65,0.0,regular
C1,C11,C1,C18,A1,B1,551564.14,0.0,regular
C1,C17,C1,C13,A1,B1,340.43,10215.0,regular
C2,C20,C4,C40,A1,B3,10000000.0,281813.0,regular
C1,C19,C9,C96,A1,B1,1700486.33,3028.0,regular
C2,C20,C7,C75,A1,B2,161554.81,0.0,regular
C1,C17,C6,C66,A1,B2,123328.14,122317.0,regular
C6,C67,C1,C10,A2,B1,376263.72,309617.0,regular
C1,C16,C1,C15,A1,B1,229956.12,0.0,regular
C1,C18,C1,C18,A1,B1,421014.29,0.0,regular
C2,C27,C2,C20,A1,B3,660137.58,44731.0,regular
C7,C73,C8,C87,A3,B3,186863.29,0.0,regular
C1,C12,C2,C20,A1,B3,760494.88,260316.0,regular
C1,C15,C1,C14,A1,B1,1295627.05,20030.0,regular
C5,C53,C2,C20,A3,B3,329774.5,0.0,regular
C1,C11,C7,C71,A1,B2,675340.23,331947.51,regular
C5,C51,C3,C37,A3,B2,18679.68,0.0,regular
C4,C47,C5,C54,A2,B1,515739.4,0.0,regular
C6,C60,C2,C25,A2,B3,226935.02,22391.06,regular
C8,C84,C1,C19,A1,B1,136068.68,421012.8,regular
C2,C20,C4,C46,A1,B3,184452.75,15161.0,regular
C1,C14,C3,C32,A1,B2,422053.13,0.0,regular
C6,C67,C1,C15,A2,B1,537191.12,0.0,regular
C1,C10,C2,C24,A1,B3,318734.4,5190.0,regular
C8,C86,C2,C20,A1,B3,929076.75,12879.0,regular
C1,C17,C8,C85,A1,B3,497515.65,2221.0,regular
C1,C15,C4,C45,A1,B3,506313.54,0.0,regular
C9,C98,C4,C40,A2,B3,324186.04,0.0,regular
C1,C15,C1,C15,A1,B1,4166068.89,0.0,regular
C1,C15,C6,C63,A1,B2,290407.59,0.0,regular
C1,C15,C1,C18,A1,B1,2490952.88,97687.0,regular
C1,C17,C1,C17,A1,B1,1170724.61,0.0,regular
C1,C14,C1,C11,A1,B1,826745.74,22618.36,regular
C2,C24,C8,C83,A1,B3,300056.81,0.0,regular
C8,C83,C9,C95,A1,B1,631020.44,23027.0,regular
C1,C17,C1,C16,A1,B1,142348.56,16453.0,regular
C4,C49,C1,C16,A2,B1,8107943.9,0.0,regular
C1,C11,C1,C11,A1,B1,530852.55,0.0,regular
C1,C16,C2,C20,A1,B3,979890.64,44706.0,regular
C5,C56,C2,C21,A3,B3,907889.72,5964.0,regular
C1,C12,C1,C15,A1,B1,89878.49,3427.0,regular
C1,C16,C2,C20,A1,B3,327428.94,0.0,regular
C5,C59,C1,C19,A3,B1,1683846.16,47015.0,regular
C8,C88,C1,C18,A1,B1,627023.48,0.0,regular
C2,C26,C1,C18,A1,B1,739640.64,10441.0,regular
C1,C19,C1,C17,A1,B1,1037325.86,0.0,regular
C1,C10,C1,C16,A1,B1,248995.43,0.0,regular
C2,C27,C1,C19,A1,B1,1754597.44,1754597.44,regular
C2,C20,C2,C21,A1,B3,1439606.25,0.0,regular
C7,C75,C5,C56,A3,B1,240190.43,25650.0,regular
C8,C89,C9,C96,A1,B1,2657038.89,39645.0,regular
C1,C13,C7,C72,A1,B2,1316621.54,0.0,regular
C1,C12,C7,C75,A1,B2,89036.35,758578.0,regular
C4,C46,C5,C59,A2,B1,87318.48,0.0,regular
C1,C13,C2,C20,A1,B3,822336.76,5557.0,regular
C1,C13,C4,C42,A1,B3,846520.52,0.0,regular
C7,C74,C1,C11,A3,B1,571289.42,12424.0,regular
C5,C55,C1,C18,A3,B1,1798573.31,10470.0,regular
C7,C71,C1,C17,A3,B1,529238.82,242048.76,regular
C4,C40,C1,C14,A2,B1,156450.86,0.0,regular
C1,C11,C2,C20,A1,B3,759243.14,0.0,regular
C1,C11,C1,C12,A1,B1,119099.47,0.0,regular
C3,C36,C1,C11,A3,B1,130174.46,9041.0,regular
C1,C13,C1,C18,A1,B1,1241129.04,0.0,regular
C1,C17,C1,C12,A1,B1,765925.85,0.0,regular
C1,C11,C1,C10,A1,B1,650875.38,0.0,regular
C1,C10,C2,C25,A1,B3,532157.64,0.0,regular
C2,C21,C4,C46,A1,B3,1339133.59,12948.0,regular
C1,C10,C1,C16,A1,B1,503020.45,0.0,regular
C1,C11,C1,C18,A1,B1,167698.76,0.0,regular
C1,C16,C6,C68,A1,B2,327446.68,23255.0,regular
C8,C82,C5,C52,A1,B1,428023.83,0.0,regular
C4,C41,C1,C18,A2,B1,290056.28,0.0,regular
C1,C13,C1,C19,A1,B1,381614.56,0.0,regular
C9,C95,C2,C28,A2,B3,2497963.53,55125.0,regular
C2,C20,C2,C21,A1,B3,343660.6,0.0,regular
C4,C43,C9,C95,A2,B1,341795.17,121805.0,regular
C9,C99,C5,C52,A2,B1,849417.68,0.0,regular
C2,C20,C1,C16,A1,B1,30137.25,116.0,regular
C1,C14,C1,C12,A1,B1,110823.11,52534.0,regular
C5,C57,C1,C14,A3,B1,480779.53,78895.0,regular
C1,C13,C2,C21,A1,B3,2395560.19,56831.0,regular
C6,C64,C7,C75,A2,B2,771935.04,0.0,regular
C1,C17,C1,C14,A1,B1,51805.31,0.0,regular
C1,C19,C2,C20,A1,B3,69449.36,0.0,regular
C1,C11,C1,C14,A1,B1,266982.75,11131.0,regular
C5,C54,C7,C78,A3,B2,383449.39,742.0,regular
C1,C13,C1,C10,A1,B1,65031.93,0.0,regular
C5,C51,C3,C39,A3,B2,125139.75,0.0,regular
C1,C14,C7,C75,A1,B2,141023.17,79237.0,regular
C1,C12,C1,C14,A1,B1,371138.18,158004.0,regular
C1,C10,C8,C82,A1,B3,1072826.73,0.0,regular
C1,C17,C6,C62,A1,B2,262717.12,0.0,regular
C2,C28,C6,C69,A1,B2,428564.45,0.0,regular
C4,C46,C2,C21,A2,B3,49042.07,0.0,regular
C1,C15,C1,C16,A1,B1,186293.26,166451.0,regular
C8,C81,C7,C79,A1,B2,1101532.48,0.0,regular
C6,C60,C2,C21,A2,B3,526532.2,0.0,regular
C1,C10,C1,C11,A1,B1,577299.81,176488.0,regular
C1,C11,C1,C14,A1,B1,231199.37,0.0,regular
C1,C15,C4,C45,A1,B3,360849.63,0.0,regular
C9,C96,C7,C70,A2,B2,493065.69,0.0,regular
C1,C18,C5,C57,A1,B1,120448.75,24962.0,regular
C1,C13,C2,C20,A1,B3,1607771.37,142267.0,regular
C1,C12,C8,C83,A1,B3,259633.45,0.0,regular
C7,C79,C6,C65,A3,B2,172596.34,0.0,regular
C1,C17,C1,C12,A1,B1,283596.18,0.0,regular
C4,C47,C1,C19,A2,B1,2355107.65,0.0,regular
C1,C11,C4,C42,A1,B3,455706.77,0.0,regular
C4,C43,C1,C16,A2,B1,859778.6,30312.0,regular
C2,C29,C1,C11,A1,B1,271714.27,0.0,regular
C1,C13,C7,C76,A1,B2,438797.37,0.0,regular
C1,C15,C1,C19,A1,B1,2923175.91,220.0,regular
C7,C74,C1,C18,A3,B1,92132.4,0.0,regular
C9,C90,C1,C11,A2,B1,244049.77,15667.0,regular
C1,C17,C1,C16,A1,B1,469219.23,51579.0,regular
C1,C14,C1,C12,A1,B1,745915.14,0.0,regular
C2,C21,C6,C67,A1,B2,247489.09,20220.0,regular
C3,C33,C1,C19,A3,B1,585895.89,0.0,regular
C8,C84,C6,C62,A1,B2,895007.34,0.0,regular
C5,C55,C1,C10,A3,B1,55349.25,0.0,regular
C7,C78,C2,C20,A3,B3,820016.34,68611.0,regular
C1,C13,C2,C29,A1,B3,1371163.0,2054.0,regular
C1,C14,C8,C89,A1,B3,1114090.33,185870.17,regular
C1,C12,C8,C82,A1,B3,849677.13,102639.0,regular
C3,C30,C1,C14,A3,B1,965776.67,0.0,regular
C1,C18,C1,C18,A1,B1,324308.87,24150.0,regular
C1,C19,C7,C73,A1,B2,406230.18,0.0,regular
C1,C18,C1,C11,A1,B1,776917.37,119674.0,regular
C1,C14,C2,C20,A1,B3,52998.62,0.0,regular
C4,C47,C1,C16,A2,B1,272674.66,100402.0,regular
C1,C17,C1,C12,A1,B1,808093.64,1083.0,regular
C4,C45,C1,C14,A2,B1,383072.63,77987.88,regular
C2,C20,C1,C12,A1,B1,521073.98,144665.0,regular
C1,C12,C6,C65,A1,B2,1037825.98,8488.0,regular
C1,C11,C7,C73,A1,B2,53653616.57,0.0,regular
C2,C26,C2,C20,A1,B3,480393.91,20471.0,regular
C6,C60,C1,C18,A2,B1,590346.51,0.0,regular
C1,C13,C2,C20,A1,B3,580279.87,0.0,regular
C1,C16,C1,C19,A1,B1,968471.78,755.0,regular
C1,C18,C9,C97,A1,B1,3413594.34,0.0,regular
C1,C16,C8,C83,A1,B3,143515.95,34455.34,regular
C1,C10,C1,C19,A1,B1,575562.35,0.0,regular
C5,C56,C7,C78,A3,B2,3084153.84,115500.0,regular
C1,C19,C1,C12,A1,B1,4896784.77,0.0,regular
C1,C10,C2,C20,A1,B3,263924.18,0.0,regular
C1,C14,C1,C11,A1,B1,224782.21,22162.0,regular
C1,C17,C9,C91,A1,B1,1343342.5,0.0,regular
C7,C79,C8,C82,A3,B3,957800.18,102915.0,regular
C1,C14,C1,C13,A1,B1,2280063.35,115297.08,regular
C2,C21,C1,C19,A1,B1,961920.78,0.0,regular
C1,C12,C1,C14,A1,B1,394617.62,0.0,regular
C2,C26,C1,C16,A1,B1,547322.6,0.0,regular
C1,C15,C2,C20,A1,B3,1301728.93,0.0,regular
C2,C20,C1,C13,A1,B1,948830.32,20203.0,regular
C3,C30,C1,C18,A3,B1,891379.98,0.0,regular
C3,C35,C1,C15,A3,B1,1211939.11,0.0,regular
C1,C19,C1,C12,A1,B1,255421.93,60834.0,regular
C5,C52,C1,C18,A3,B1,281960.92,0.0,regular
C1,C16,C2,C21,A1,B3,310800.93,53822.0,regular
C2,C27,C3,C39,A1,B2,156953.41,2402.0,regular
C1,C13,C4,C42,A1,B3,200166.14,0.0,regular
C2,C27,C1,C19,A1,B1,378614.57,21497.0,regular
C1,C14,C1,C11,A1,B1,56088.05,0.0,regular
C9,C99,C1,C10,A2,B1,70210.92,0.0,regular
C4,C42,C1,C10,A2,B1,2245342.37,0.0,regular
C4,C42,C3,C32,A2,B2,206228.43,0.0,regular
C1,C15,C1,C16,A1,B1,330783.99,5194.0,regular
C2,C20,C1,C15,A1,B1,1748641.23,0.0,regular
C5,C56,C5,C56,A3,B1,62597.7,585.0,regular
C6,C67,C1,C13,A2,B1,179712.21,208898.6,regular
C1,C18,C3,C33,A1,B2,2253960.51,0.0,regular
C2,C26,C1,C18,A1,B1,491515.98,0.0,regular
C9,C91,C1,C17,A2,B1,28399.72,28399.72,regular
C2,C22,C6,C64,A1,B2,310028.24,0.0,regular
C2,C20,C1,C11,A1,B1,653786.21,743.0,regular
C1,C14,C8,C89,A1,B3,207780.18,24124.0,regular
C1,C13,C1,C15,A1,B1,1073906.1,0.0,regular
C7,C74,C7,C73,A3,B2,394102.65,27584.0,regular
C9,C94,C3,C32,A2,B2,375424.42,0.0,regular
C1,C17,C1,C19,A1,B1,122862.1,0.0,regular
C1,C13,C1,C10,A1,B1,20194.64,9510.0,regular
C1,C19,C4,C42,A1,B3,317982.84,20909.0,regular
C1,C14,C1,C15,A1,B1,22025.14,22025.14,regular
C1,C12,C1,C16,A1,B1,1098532.21,25802.0,regular
C2,C24,C1,C11,A1,B1,644026.1,0.0,regular
C4,C43,C2,C20,A2,B3,112509.43,0.0,regular
C4,C48,C3,C31,A2,B2,49049.13,16402.0,regular
C2,C21,C9,C98,A1,B1,795904.66,0.0,regular
C1,C10,C3,C35,A1,B2,155546.69,0.0,regular
C2,C20,C1,C19,A1,B1,590067.67,0.0,regular
C3,C38,C5,C53,A3,B1,328270.75,0.0,regular
C5,C52,C4,C44,A3,B3,927481.55,11292.0,regular
C1,C18,C1,C17,A1,B1,5166904.21,25476.0,regular
C1,C16,C2,C20,A1,B3,230782.75,80372.01,regular
C1,C19,C1,C13,A1,B1,532061.94,51172.0,regular
C1,C11,C1,C12,A1,B1,704276.04,0.0,regular
C7,C78,C7,C71,A3,B2,1038883.82,17116.0,regular
C1,C16,C5,C56,A1,B1,1058935.09,0.0,regular
C6,C66,C6,C66,A2,B2,637751.87,0.0,regular
C1,C16,C9,C94,A1,B1,2580013.05,0.0,regular
C1,C19,C1,C12,A1,B1,3459005.83,11648.0,regular
C5,C53,C1,C14,A3,B1,471522.7,0.0,regular
C8,C85,C1,C17,A1,B1,486073.45,50291.0,regular
C9,C97,C1,C17,A2,B1,213764.05,0.0,regular
C1,C18,C5,C57,A1,B1,323944.95,0.0,regular
C1,C12,C1,C11,A1,B1,828725.54,67026.0,regular
C1,C19,C9,C91,A1,B1,1086372.38,365603.37,regular
C4,C49,C1,C14,A2,B1,464481.15,115750.0,regular
C4,C44,C6,C68,A2,B2,652376.26,85495.0,regular
C6,C61,C2,C21,A2,B3,867855.45,0.0,regular
C6,C67,C2,C20,A2,B3,1869735.74,0.0,regular
C2,C24,C3,C30,A1,B2,84421.97,0.0,regular
C5,C53,C1,C13,A3,B1,699592.19,52980.0,regular
C1,C11,C1,C16,A1,B1,63642.94,0.0,regular
C6,C64,C2,C20,A2,B3,298623.71,0.0,regular
C6,C66,C5,C54,A2,B1,938289.04,0.0,regular
C1,C10,C9,C96,A1,B1,15417.57,10891.0,regular
C1,C19,C1,C12,A1,B1,201419.06,0.0,regular
C1,C10,C7,C79,A1,B2,416359.85,0.0,regular
C1,C11,C1,C17,A1,B1,213591.14,0.0,regular
C9,C90,C1,C13,A2,B1,1013670.81,0.0,regular
C1,C19,C3,C34,A1,B2,74949.74,29246.0,regular
C4,C44,C1,C14,A2,B1,679889.76,69179.38,regular
C1,C14,C6,C61,A1,B2,90132.64,52115.0,regular
C1,C13,C8,C84,A1,B3,1099045.16,376846.0,regular
C1,C16,C4,C43,A1,B3,430330.18,0.0,regular
C1,C11,C1,C12,A1,B1,1323235.73,502.0,regular
C2,C20,C7,C70,A1,B2,473906.44,48368.0,regular
C1,C18,C3,C34,A1,B2,914502.33,145142.0,regular
C6,C69,C1,C14,A2,B1,130497.7,0.0,regular
C2,C26,C1,C19,A1,B1,24952.72,0.0,regular
C1,C16,C1,C19,A1,B1,857896.89,549757.0,regular
C1,C18,C1,C14,A1,B1,36581.09,0.0,regular
C5,C54,C7,C74,A3,B2,183192.85,10423.0,regular
C1,C13,C3,C30,A1,B2,4131628.44,16194.0,regular
C2,C21,C1,C11,A1,B1,9336.93,183460.1,regular
C4,C48,C1,C11,A2,B1,7266.81,0.0,regular
C1,C10,C6,C60,A1,B2,1053587.24,0.0,regular
C1,C10,C9,C90,A1,B1,447515.47,0.0,regular
C1,C18,C1,C15,A1,B1,365139.15,0.0,regular
C1,C17,C2,C22,A1,B3,274219.78,0.0,regular
C1,C14,C1,C10,A1,B1,331015.66,376.0,regular
C1,C18,C1,C14,A1,B1,1356235.17,48078.0,regular
C1,C16,C1,C15,A1,B1,163363.25,17734.0,regular
C1,C12,C1,C13,A1,B1,924875.98,0.0,regular
C1,C17,C1,C16,A1,B1,198180.52,21311.0,regular
C7,C79,C9,C90,A3,B1,313644.28,0.0,regular
C4,C43,C1,C13,A2,B1,449540.09,5018.0,regular
C2,C20,C1,C16,A1,B1,1175086.0,0.0,regular
C1,C15,C1,C18,A1,B1,1575667.42,50109.0,regular
C4,C42,C4,C44,A2,B3,359979.6,0.0,regular
C1,C18,C8,C85,A1,B3,455202.81,0.0,regular
C1,C15,C1,C13,A1,B1,439149.66,0.0,regular
C3,C38,C2,C20,A3,B3,3493906.95,202033.0,regular
C1,C13,C7,C74,A1,B2,194159.89,697.0,regular
C2,C20,C3,C37,A1,B2,239631.63,0.0,regular
